Standard Number,Standard Name,YEAR,PUBLISHER,Price,Description,Currency,Image_URL,Updated_At,Discount,Visible
APQP-3 : 2024,Advanced Product Quality Planning (APQP) Reference Manual,2024,AIAG,177,"Focusing on the ""why"" behind the ""what"" and ""when,"" the APQP 3rd edition manual addresses how to improve successful new product launches, with updates to reflect agile product management, and new sections on sourcing, change management, APQP program metri",USD,/images/standards/APQP-3___2024.jpg,2026-05-30T11:06:56.268Z,25,true
CP-1 : 2024,Control Plan First Edition,2024,AIAG,177,"The Control Plan 1st edition manual provides clarification on various requirements, further explanation on linkages to APQP processes, and detailed guidance on how to develop control plans, along with industry best practices for effectively using these pl",USD,/images/standards/CP-1___2024.jpg,2026-05-30T11:07:05.630Z,25,true
FMEAAV-1:2022,AIAG & VDA FMEA Handbook,2022,AIAG,242,"The AIAG & VDA FMEA Handbook is the new automotive industry reference manual for Failure Mode and Effects Analysis, it is to be used as a guide to assist suppliers in the development of Design FMEA, Process FMEA, and Supplemental FMEA for Monitoring and S",USD,/images/standards/FMEAAV-1_2022.png,2026-05-30T11:07:12.745Z,25,true
IATF-1 : 2016,IATF 16949 Automotive Quality Management System Standard,2016,AIAG,177,"This standard, coupled with the applicable customer-specific requirements, defines the quality management system requirements for automotive production, service and/or accessory parts. IATF 16949:2016 is an autonomous QMS standard that is fully aligned wi",USD,/images/standards/IATF-1___2016.jpg,2026-05-30T11:07:22.644Z,25,true
MSA-4 : 2010,Measurement Systems Analysis 4-edition,2010,AIAG,177,"Measurement data is used in nearly every manufacturing process. As the quality of the data improves, the quality of decisions improves. This guide will help you assess the quality of your measurement systems, providing a basis for recognizing where improv",USD,/images/standards/MSA-4___2010.webp,2026-05-30T11:07:32.208Z,25,true
PFMEA,Potential Failure Mode & Effects Analysis 4 edition,2019,AIAG,177,"In order to achieve the greatest quality in manufacturing, potential failures must be identified before they occur. As an industry-wide standard, this reference manual clarifies questions concerning the technical development of both Design and Process FME",USD,/images/standards/PFMEA.webp,2026-05-30T11:07:43.110Z,25,true
PPAP-4:2006,Production Part Approval Process 4th edition,2006,AIAG,177,Ensure your suppliers understand the processes required to produce parts with consistent quality during an actual production run at production rates. PPAP is the industry standard for defining the production part approval process to ensure engineering des,USD,/images/standards/PPAP-4_2006.webp,2026-05-30T11:08:01.391Z,25,true
RULES-6:2024,IATF 16949 Automotive Certification Scheme - Rules Sixth,2024,AIAG,177,"Now in its 6th edition, this document contains the requirements for IATF-recognized certification bodies when conducting IATF 16949 audits and issuing certificates. Along with strengthening and clarifying various processes, approaches, requirements, and I",USD,/images/standards/RULES-6_2024.jpg,2026-05-30T11:08:22.186Z,25,true
SPC-3:2005,Statistical Process Control -2nd Edition,2005,AIAG,177,"Continuous improvement is vital to prospering in today's economy. This guide provides several basic and advanced statistical methods that can be used to make your manufacturing improvements more effective, resulting in products and services that improve v",USD,/images/standards/SPC-3_2005.webp,2026-05-30T11:08:16.024Z,25,true
AIAG IATF 16949:2019  TSG-5,IATF Auditor Guide For IATF 16949,2019,AIAG,97,"The 5th Edition of the IATF Auditor Guide has been updated to align with the 6th Edition of the Rules and now includes a new section on auditing Corporate Scheme clients. It covers key auditor competencies such as audit nonconformity management and auditing top management processes, organized across six comprehensive sections for effective audit planning, execution, and competency development.",USD,/images/standards/AIAG_IATF_16949_2019__TSG-5.jpg,2026-05-30T11:08:10.246Z,25,true
CQI-08-2:2014,Layered Process Audit Guideline 2nd Edition,2014,AIAG,129,"Key elements of the revised CQI-8 guideline: "" Integrates LPA with management of Key Performance Indicators (KPIs) so that LPAs have a positive impact on business results. "" Expands ownership beyond the Quality function "" Suggests the role of the LPA Planning Team "" Promotes utilization of LPAs in non-manufacturing areas (e.g. Engineering, Purchasing, Program Management, etc.) "" Recommends Roles and Responsibilities for LPA (RASIC chart) "" Provides expanded guidelines for writing effective LPA checksheet questions "" Explains of the audit process in more detail "" Promotes measuring effectiveness of LPA, and then adjusting accordingly "" Clarifies deployment of LPA via process-specific LPA checksheets "" Describes conducting the Audits and Recording the Findings "" Makes clear the importance of Top Management Review and LPA metrics "" Provides specific suggestions to improve an existing LPA system",USD,/images/standards/CQI-08-2_2014.jpg,2026-05-30T11:09:31.825Z,25,true
CQI-14-4 : 2022,"Automotive Warranty Management : A Guideline for Industry Best Practices, 4th Edition",2022,AIAG,296,"CQI-14 drives consumer satisfaction and warranty improvement by providing a robust warranty management program. The guideline provides an assessment tool, and No Trouble Found case studies to guide an organization to proactively reduce warranty incident rates associated with warranty events. The CQI-14 4th edition, 2nd Printing, does not contain any new requirements; therefore, CQI-14 4th edition and CQI-14 4th edition, 2nd Printing are considered technically equivalent and valid editions. References to OESA were changed to MEMA. This Second Printing of the Fourth Edition (English only).",USD,/images/standards/CQI-14-4___2022.png,2026-05-30T11:09:23.435Z,25,true
CQI-17-2 : 2021,Special Process: Electronic Assembly Manufacturing-Soldering,2021,AIAG,296,"The goal of the 2nd edition CQI-17 Special Process: Electronic Assembly Manufacturing - Soldering System Assessment (EAM-SSA) is the development of a soldering management system that provides for continual improvement - emphasizing process control, proactive defect prevention, and the reduction of variation and waste in the supply chain. These soldering requirements are complementary to customer and product standards and intended to provide a common approach to a soldering management system for automotive production and service part organizations. Get your copy today to learn more!",USD,/images/standards/CQI-17-2___2021.png,2026-05-30T11:09:13.442Z,25,true
CQI-27-2:2018,"Special Process : Casting System Assessment, 2nd Edition",2018,AIAG,296,"The CQI-27 Special Process: Casting System Assessment provides requirements for foundry suppliers of OEM automotive castings. It is a collective effort by OEM and Tier 1 customers to create common process requirements for foundries, requirements which our shared experiences tell us will benefit the foundry industry for their OEM automotive customers. The document comes with an Excel file to complete as part of the assessment.",USD,/images/standards/CQI-27-2_2018.jpg,2026-05-30T11:09:04.179Z,25,true
CQI-30-1:2022,"Special Process : Rubber Processing System Assessment - Mixing & Molding, 1st Edition",2022,AIAG,296,"CQI-30 Special Process: Rubber Processing System Assessment - Mixing & Molding 1st Edition. Developed in collaboration with industry experts from OEMs, Tier 1 suppliers, and molding suppliers, the CQI-30 Special Process: Rubber Processing System Assessment - Mixing & Molding provides a common approach to a rubber mixing and molding management system for automotive production and service part organizations. With eight sections focused on the pre-audit survey, management responsibility and quality planning, job audit, rubber mixing, inspection and testing, facilities and equipment, molding, and substrate preparation, this document includes requirements for organizations of all sizes performing mixing and molding operations. Get your copy today!",USD,/images/standards/CQI-30-1_2022.png,2026-05-30T11:08:55.122Z,25,true
9783870406622,ICUMSA® Methods Book 2024 includes all supplements up to 2024,2024,ICUMSA,65000,"The ICUMSA Methods Book is a comprehensive reference containing all officially adopted ICUMSA analytical methods used across the global sugar industry. The book includes standardized methods, tables, and technical information for sugar testing and quality analysis, supporting laboratories, manufacturers, and regulatory bodies worldwide. Recognized by international organizations such as the Codex Alimentarius Commission, the EU, OIML, and the US Food Chemicals Codex, it serves as an essential standard reference for sugar analysis, quality control, and industry compliance.",INR,/images/standards/9783870406622.png,2026-05-26T04:29:48.240Z,0,true
ETRTO-2026,STANDARDS MANUAL 2026 (Book),2026,ETRTO,28000,ETRTO standards for tyres/rims/valves for ground vehicles. ,INR,/images/standards/ETRTO-2026.webp,2026-05-29T11:24:56.342Z,0,true
NFPA-70HB26,"NFPA 70, National Electrical Code (NEC) Handbook (2026)",2026,NFPA,42000,"NFPA LiNK® provides instant access via your favorite device to over 1,500 NFPA® codes and standards, plus exclusive expert commentary, visual aids, and more. Existing NFPA handbook commentary and visuals are included as in-line enhanced content along with entirely new content created specifically for NFPA LiNK.",INR,/images/standards/70HB26.webp,2026-05-29T12:31:16.133Z,0,true
SPCAV-1:2026,AIAG & VDA SPC Manual,2026,AIAG,242,"AIAG–VDA Statistical Process Control (SPC) is the definitive guide to modern process control and capability improvement in the automotive industry. Featuring the latest harmonized standards, practical implementation guidance, and updated methodologies, this edition serves as an invaluable reference for quality management, manufacturing excellence, and workforce training. Available now for presale.",USD,/images/standards/SPCAV-1_2026.webp,2026-07-07T04:47:38.117Z,25,true
Jatma Year Book 2026,JATMA YEAR BOOK 2026 (TYRE STANDARDS),2026,JATMA,9500,"A comprehensive standard focused on the standardization and harmonization of tyres for the domestic market, ensuring compatibility, improving production efficiency, and supporting the proper selection and use of tyres.",INR,/images/standards/Jatma_Year_Book_2026.webp,2026-06-08T09:22:55.204Z,0,true
AIAG APCP-K: 2024,"APQP Third Edition and Control Plan First Edition,   2-Pack",2024,AIAG,318,"A complete resource package featuring the APQP 3rd Edition and Control Plan 1st Edition manuals. Updated for today's automotive industry challenges, including automation, electrification, and advanced mobility, this kit provides essential guidance for quality planning and process control.",USD,/images/standards/AIAG_APCP-K__2024.webp,2026-06-08T10:02:54.635Z,25,true
IATF 16949 & Core Tools,"Discounted Bundle - IATF 16949 and the Core Tools manuals: APQP,  Control Plan, PPAP, AIAG & VDA FMEA Handbook, MSA, & SPC",2026,AIAG,996,"A complete automotive quality management resource featuring the latest IATF 16949 standard and Core Tools manuals, including APQP, Control Plan, PPAP, AIAG & VDA FMEA, MSA, and SPC. Ideal for quality professionals seeking comprehensive guidance for compliance, process improvement, and continual quality excellence.",USD,/images/standards/IATF_16949___Core_Tools.webp,2026-06-08T10:04:58.571Z,25,true
MMPDS-2026 Bundle,"Metallic Materials Properties Development and Standardization (MMPDS) Handbook, Volumes I & II",2026,SAE,1648,"Purchase Includes - MMPDS-2026, Volume I- Conventional Materials and Joint Allowables, Complete Document (All 9 Chapters) & MMPDS-2026, Volume II- Process Intensive Materials and Joining Technologies (Chapters 1, 5, 9 and 10)",USD,/images/standards/MMPDS-2026_Bundle.jpg,2026-07-11T07:28:21.530Z,5,true
DIN 13-1:1999-11,General purpose ISO metric screw threads - Part 1: Nominal sizes for 1 mm to 68 mm diameter coerse pitch threads,1999-11,DIN,62.43,ISO metric threads*Metric screw threads*Normal threads*Threads,EUR,/images/standards/din.webp,2026-09-04T06:52:41.010Z,0,true
DIN 186:2024-11,T-head bolts with square neck,2024-11,DIN,90,Fasteners*Screws (bolts)*T-head bolts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 188:2024-11,T-head bolts with double nib,2024-11,DIN,111.96,Fasteners*Screws (bolts)*T-head bolts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 199-1:2024-06,Technical Product Documentation (TPD) - Part 1: Vocabulary relating to documentation management; Text in German and English,2024-06,DIN,80.84,Definitions*Documentation system*Products documentation*Technical languages*Technical product documentation*Technical term*Terminology*Terminology standard*Vocabulary,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 261:2024-12,T-head bolts,2024-12,DIN,100.93,Screws (bolts)*T-head bolts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 434:2024-10,Square taper washers for U-sections,2024-10,DIN,54.95,Bolted joints*Washers,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 435:2024-10,Square taper washers for I-sections,2024-10,DIN,54.95,Fasteners*Washers,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 436:2024-10,"Square washers, especially for wood constructions",2024-10,DIN,54.95,Fasteners*Washers,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 440:2024-10,"Washers with square hole, especially for timber constructions",2024-10,DIN,54.95,Fasteners*Washers,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 443:2025-12,Sealing push-in caps,2025-12,DIN,66.64,Lids,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 466:2024-11,Knurled nuts - High type,2024-11,DIN,66.64,Knurled nuts*Nuts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 467:2024-11,Knurled nuts - Low type,2024-11,DIN,66.64,Knurled nuts*Nuts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 488-6:2024-09,Reinforcing steel - Part 6: Assessment of conformity,2024-09,DIN,187.01,Quality control*Reinforcing steels*Steels,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 525:2025-09,Studs for welding,2025-09,DIN,66.64,Dimensions*Fasteners*Welding ends,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 546:2024-05,Slotted round nuts,2024-05,DIN,66.64,Nuts*Slotted round nuts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 547:2024-05,Round nuts with drilled holes in one face,2024-05,DIN,66.64,Nuts*Round nuts with drilled holes in one face,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 548:2024-05,Round nuts with set pin holes in side,2024-05,DIN,66.64,Capstan nuts*Nuts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 580:2024-05,Lifting eye bolts,2024-05,DIN,145.79,Eye bolts*Fasteners*Screws (bolts),EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 582:2024-05,Lifting eye nuts,2024-05,DIN,135.23,Fasteners*Lifting eye nuts*Nuts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 637:2024-12,Rolling bearings - Safety regulations for dimensioning and operation of profiled rail guides with recirculating rolling elements; Text in German and English,2024-12,DIN,116.82,Anti-friction guideways*Assembly dimensions*Bearings*Design*Dimensional tolerances*Dimensions*Guide mechanisms*Guide rails*Life (durability)*Linear*Load factor*Lubrication*Precision*Profile rails*Rolling bearings*Rolling elements*Safety engineering*Safety requirements*Screwed joints*Starting torque*Symbols*Tensile loading*Tolerances (measurement),EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 743-3:2024-07,Calculation of load capacity of shafts and axles - Part 3: Strength of materials,2024-07,DIN,90,Axles*Calculation of load capacity*Shafts,EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 835:2025-08,Fasteners - Studs - Metal end <ca> 2d,2025-08,DIN,90,Fasteners*Screws (bolts)*Studs (fasteners),EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 920:2024-05,Slotted pan head screws with small head,2024-05,DIN,66.64,Pan head screws*Screws (bolts),EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 921:2025-09,Slotted pan head screws with large head,2025-09,DIN,78.41,Pan head screws*Screws (bolts),EUR,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 923:2024-06,Slotted pan head screws with shoulder,2024-06,DIN,78.41,Pan head screws*Screws (bolts),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 924:2024-11,Slotted raised countersunk head screws with dog point,2024-11,DIN,78.41,Recessed countersunk head screws*Screws (bolts),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 925:2024-11,Slotted countersunk head screws with dog point (flat head),2024-11,DIN,66.64,Countersunk head screws*Screws (bolts),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 938:2025-08,Fasteners - Studs - Metal end <ca> 1d,2025-08,DIN,111.96,Screws (bolts)*Studs (fasteners),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 939:2025-08,"Fasteners - Studs - Metal end <ca> 1,25d",2025-08,DIN,111.96,Grub screws*Studs (fasteners),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 940:2025-08,"Fasteners - Studs - Metal end <ca> 2,5d",2025-08,DIN,90,Fasteners*Screws (bolts)*Studs (fasteners),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 988:2025-12,Shim rings and supporting rings,2025-12,DIN,100.93,Fasteners*Shim rings*Supporting rings*Washers,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 1249-11:2025-02,"Glass in building - Part 11: Glass edges - Terms and definitions, characteristics of edge types and finishes",2025-02,DIN,78.41,Construction*Flat glass*Glass,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 1835-1:2024-03,Cylindrical shanks made of steel for machining tools - Part 1: Dimensions,2024-03,DIN,100.93,Parallel shanks*Steels,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 1835-2:2024-03,"Cylindrical shanks made of steel for machining tools - Part 2: Connection dimensions for tool holders, accessories",2024-03,DIN,78.41,Connecting dimensions*Parallel shanks*Steels*Tools,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 2001-2:2025-06,"Drinking water supply from small units and non stationary plants - Part 2: Non stationary units - Guidelines for drinking water, planning, construction, operation and maintenance of units",2025-06,DIN,187.01,Drinking water installations*Drinking water supply*Potable water,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 2510-2:2025-04,Bolted connections with waisted shank - Part 2: Metric thread with large clearance - Nominal dimensions and limits of size,2025-04,DIN,135.23,Bolted joints*Screw threads*Threads,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 4150-2:2025-08,Vibrations in buildings - Part 2: Effects on persons in buildings,2025-08,DIN,214.49,Construction*Vibrations,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
