Subject,Title,Author,ISBN,Price,Currency,Pages,Publication_Year,Category,Image_URL,Book_URL,Description,Updated_At,Discount,Visible,Publisher
Computer Science,AI For Marketing,"Rahul Pratap Singh Kaurav, Sudhir Rana, Justin Paul",9789373324883,950,INR,544,2025,Computer,/images/books/9789373324883.jpg,,"Explore AI For Marketing, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in computer. Written by Rahul Pratap Singh Kaurav, Sudhir Rana, Justin Paul, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Big Data MBA: Driving Business Strategies with Data Science, An Indian Adaptation",Bill Schmarzo,9789363863088,813,INR,348,2025,Technology,/images/books/9789363863088.jpg,,"Explore Big Data MBA: Driving Business Strategies with Data Science, An Indian Adaptation, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in technology. Written by Bill Schmarzo, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Investment Banking For Dummies, 2ed","Matt Krantz, Robert R. Johnson",9788126522828,959,INR,400,2020,General,/images/books/9788126522828.jpg,,"Explore Investment Banking For Dummies, 2ed, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Matt Krantz, Robert R. Johnson, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Biotechnology for All,"Tarun Rajpal, Rajni Gupta",9789363867147,699,INR,444,2025,General,/images/books/9789363867147.png,,"Explore Biotechnology for All, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Tarun Rajpal, Rajni Gupta, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"The Quick Guide to Prompt Engineering: Generative AI Tips and Tricks for ChatGPT, Bard, Dall-E, and Midjourney , An Indian Adaptation",Ian Khan,9789363869264,750,INR,536,2025,Engineering,/images/books/9789363869264.jpg,,"Explore The Quick Guide to Prompt Engineering: Generative AI Tips and Tricks for ChatGPT, Bard, Dall-E, and Midjourney , An Indian Adaptation, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in engineering. Written by Ian Khan, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,WordPress All-in-One For Dummies 4ed,Lisa Sabin-Wilson,9788126568789,1559,INR,,2020,General,/images/books/9788126568789.jpg,,"Explore WordPress All-in-One For Dummies 4ed, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Lisa Sabin-Wilson, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Cloud Computing for Dummies 2ed,Judith Hurwitz Daniel Kirsch,9788126570553,909,INR,,2020,Technology,/images/books/9788126570553.jpg,,"Explore Cloud Computing for Dummies 2ed, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in technology. Written by Judith Hurwitz Daniel Kirsch, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"International Business, 2ed (An Indian Adaptation)","Shad Morris, James Oldroyd, Ram Singh",9789354249334,1099,INR,,2022,General,/images/books/9789354249334.jpg,,"Explore International Business, 2ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Shad Morris, James Oldroyd, Ram Singh, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Business Statistics 10ed: For Contemporary Decision Making (An Indian Adaptation),"Ken Black, Sanjeet Singh",9789354640179,1189,INR,,2022,General,/images/books/9789354640179.jpg,,"Explore Business Statistics 10ed: For Contemporary Decision Making (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Ken Black, Sanjeet Singh, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Physics, Vol 1, 5ed (An Indian Adaptation)","Robert Resnick, David Halliday, Kenneth S. Krane, Dr. Partha Goswami, Dr. Arijit Roy, Dr. Kaustuv Da",9789354640384,1099,INR,720,2022,Science,/images/books/9789354640384.jpg,,"Explore Physics, Vol 1, 5ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in science. Written by Robert Resnick, David Halliday, Kenneth S. Krane, Dr. Partha Goswami, Dr. Arijit Roy, Dr. Kaustuv Da, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
